Deck,Player,Event,Rank,Date,Creatures,Instants_Sorceries,Other_spells,Lands
RG Aggro,Bertrand Lestrée,Worlds 1994 (Milwaukee) *,2,1994-08-01,12.0,20.0,8.0,20.0
Wug Control,Zak Dolan,Worlds 1994 (Milwaukee) *,1,1994-08-01,11.0,15.0,19.0,15.0
Zoo,Dominic Symens,Worlds 1994 (Milwaukee) *,3,1994-08-01,12.0,19.0,13.0,16.0
Zoo,Cyrille de Foucaud,Worlds 1994 (Milwaukee) *,4,1994-08-01,16.0,20.0,7.0,23.0
Rack Control,Alexander Blumke,Worlds 1995 (Seattle) *,1,1995-08-01,6.0,18.0,14.0,25.0
WR Control,Marc Hernandez,Worlds 1995 (Seattle) *,2,1995-08-01,0.0,15.0,27.0,20.0
RG Control,Henry Stern,Worlds 1995 (Seattle) *,3,1995-08-01,10.0,15.0,14.0,24.0
Blueless Weenie White,Tom Chanpheng,Worlds 1996 (Seattle),1,1996-08-14,20.0,13.0,3.0,24.0
Erhnam Gueddon,Olle Råde,Worlds 1996 (Seattle),4,1996-08-14,22.0,16.0,2.0,21.0
Mono B Nevinyrral's Necro,Henry Stern,Worlds 1996 (Seattle),3,1996-08-14,10.0,13.0,11.0,26.0
Br Nevinyrral's Necro,Mark Justice,Worlds 1996 (Seattle),2,1996-08-14,9.0,15.0,11.0,25.0
Black Five,Jakub Slemr,Worlds 1997 (Seattle) *,1,1997-08-17,25.0,14.0,0.0,22.0
URw Aggro,Janosch Kuhn,Worlds 1997 (Seattle) *,2,1997-08-17,8.0,30.0,0.0,22.0
Stompy,Svend Sparre Geertsen,Worlds 1997 (Seattle) *,4,1997-08-17,32.0,6.0,4.0,18.0
UR Control,Paul McCabe,Worlds 1997 (Seattle) *,3,1997-08-17,18.0,17.0,5.0,20.0
Recurring Survival,Brian Selden,Worlds 1998 (Seattle),1,1998-08-16,24.0,4.0,10.0,22.0
Sligh,Ben Rubin,Worlds 1998 (Seattle),2,1998-08-16,21.0,14.0,4.0,21.0
Sligh,Jon Finkel,Worlds 1998 (Seattle),3,1998-08-16,19.0,15.0,4.0,22.0
Recurring Survival,Raphael Levy,Worlds 1998 (Seattle),4,1998-08-16,24.0,4.0,9.0,23.0
Mono Green Aggro,Raffaele Lo Moro,Worlds 1999 (Yokohama),3,1999-08-08,28.0,4.0,8.0,20.0
Stompy,Matt Linde,Worlds 1999 (Yokohama),4,1999-08-08,26.0,4.0,8.0,22.0
Mono Red Land D,Mark Le Pine,Worlds 1999 (Yokohama),2,1999-08-08,15.0,19.0,4.0,24.0
Wildfire,Kai Budde,Worlds 1999 (Yokohama),1,1999-08-08,8.0,4.0,28.0,20.0
Ice Age.dec,Dominik Hothow,Worlds 2000 (Brussels),3,2000-08-06,25.0,11.0,0.0,24.0
Trinity,Benedikt Klauser,Worlds 2000 (Brussels),4,2000-08-06,28.0,4.0,5.0,23.0
Tinker,Jon Finkel,Worlds 2000 (Brussels),1,2000-08-06,9.0,8.0,22.0,21.0
Tinker,Bob Maher,Worlds 2000 (Brussels),2,2000-08-06,9.0,7.0,22.0,22.0
Machinehead,Tom Van de Logt,Worlds 2001 (Toronto),1,2001-08-12,18.0,18.0,0.0,24.0
Merfolk Oppo,Alex Borteh,Worlds 2001 (Toronto),2,2001-08-12,20.0,12.0,8.0,20.0
Nether Go,Antoine Ruel,Worlds 2001 (Toronto),3,2001-08-12,3.0,32.0,2.0,23.0
Merfolk Oppo,Andrea Santin,Worlds 2001 (Toronto),4,2001-08-12,18.0,12.0,8.0,22.0
Psychatog,Diego Ostrovich,Worlds 2002 (Sydney),3,2002-08-18,8.0,28.0,0.0,24.0
Psychatog,Carlos Romão,Worlds 2002 (Sydney),1,2002-08-18,8.0,28.0,0.0,24.0
Psychatog,Dave Humpherys,Worlds 2002 (Sydney),4,2002-08-18,9.0,26.0,0.0,25.0
BurningTog,Mark Ziegner,Worlds 2002 (Sydney),2,2002-08-18,13.0,23.0,0.0,24.0
Wake,Daniel Zink,Worlds 2003 (Berlin),1,2003-08-10,0.0,26.0,7.0,27.0
UG Madness,David Humpherys,Worlds 2003 (Berlin),4,2003-08-10,18.0,20.0,0.0,22.0
Wake,Tuomo Nieminen,Worlds 2003 (Berlin),3,2003-08-10,0.0,25.0,9.0,26.0
Wake,Jin Okamoto,Worlds 2003 (Berlin),2,2003-08-10,0.0,27.0,7.0,26.0
Astral Slide,Julien Nuijten,Worlds 2004 (San Francisco),1,2004-09-05,12.0,19.0,4.0,25.0
Affinity,Aeo Paquette,Worlds 2004 (San Francisco),2,2004-09-05,22.0,8.0,12.0,18.0
Goblins,Ryou Ogura,Worlds 2004 (San Francisco),3,2004-09-05,33.0,4.0,0.0,23.0
KCI,Manuel Bevand,Worlds 2004 (San Francisco),4,2004-09-05,0.0,18.0,23.0,19.0
Ghazi Glare,Katsuhiro Mori,Worlds 2005 (Yokohama),1,2005-12-04,24.0,4.0,9.0,23.0
Greater Gift,Frank Karsten,Worlds 2005 (Yokohama),2,2005-12-04,11.0,20.0,6.0,23.0
Ghazi Glare,Tomohiro Kaji,Worlds 2005 (Yokohama),3,2005-12-04,23.0,4.0,10.0,23.0
Enduring Ideal,Akira Asahara,Worlds 2005 (Yokohama),4,2005-12-04,0.0,17.0,20.0,23.0
Dragonstorm,Makihito Mihara,Worlds 2006 (Paris),1,2006-12-03,6.0,28.0,4.0,22.0
UWTron,Ryou Ogura,Worlds 2006 (Paris),2,2006-12-03,4.0,24.0,9.0,23.0
Boros,Nicholas Lovett,Worlds 2006 (Paris),3,2006-12-03,23.0,16.0,0.0,21.0
Tron Martyr Life,Gabriel Nassif,Worlds 2006 (Paris),4,2006-12-03,9.0,22.0,5.0,24.0
Doran Rock,Uri Peleg,Worlds 2007 (New York),1,2007-12-06,23.0,10.0,4.0,23.0
Mannequin,Kotaro Otsuka,Worlds 2007 (New York),4,2007-12-06,23.0,9.0,4.0,24.0
Dragonstorm,Patrick Chapin,Worlds 2007 (New York),2,2007-12-06,4.0,25.0,7.0,24.0
Dragonstorm,Gabriel Nassif,Worlds 2007 (New York),3,2007-12-06,4.0,24.0,8.0,24.0
Kithkins,Hannes Kerem,Worlds 2008 (Memphis),4,2008-12-14,24.0,8.0,3.0,25.0
Quick' n Toast,Jamie Parke,Worlds 2008 (Memphis),2,2008-12-14,11.0,23.0,0.0,26.0
RB Sauce,Tsuyoshi Ikeda,Worlds 2008 (Memphis),3,2008-12-14,15.0,16.0,4.0,25.0
Faeries,Antti Malin,Worlds 2008 (Memphis),1,2008-12-14,12.0,19.0,4.0,25.0
Boros,Bram Snepvangers,Worlds 2009 (Rome),4,2009-11-19,24.0,10.0,2.0,24.0
Jund,David Reitbauer,Worlds 2009 (Rome),2,2009-11-19,16.0,17.0,2.0,25.0
Naya Lightsaber,André Coimbra,Worlds 2009 (Rome),1,2009-11-19,25.0,8.0,3.0,24.0
Naya,Terry Soh,Worlds 2009 (Rome),3,2009-11-19,26.0,11.0,1.0,22.0
UB Control,Guillaume Wafo-Tapa,Worlds 2010 (Chiba),2,2010-12-12,5.0,17.0,12.0,26.0
UB Control,Guillaume Matignon,Worlds 2010 (Chiba),1,2010-12-12,5.0,19.0,10.0,26.0
UB Control,Paulo Vitor Damo da Rosa,Worlds 2010 (Chiba),3,2010-12-12,6.0,19.0,9.0,26.0
Eldrazi Green,Love Janse,Worlds 2010 (Chiba),4,2010-12-12,18.0,13.0,3.0,26.0
Tempered Steel,Conley Woods,Worlds 2011 - Top 8,3,2011-11-20,21.0,4.0,16.0,19.0
Kessig Titan,Junya Iyanaga,Worlds 2011 - Top 8,1,2011-11-20,14.0,16.0,4.0,26.0
GW Aggro,Richard Bland,Worlds 2011 - Top 8,2,2011-11-20,19.0,2.0,14.0,25.0
Red Deck Wins,David Caplan,Worlds 2011 - Top 8,4,2011-11-20,20.0,15.0,4.0,21.0
UWx Midrange,Shahar Shenhar,2013 World Championship,1,2013-08-01,10.0,24.0,0.0,26.0
UWx Midrange,Benjamin Stark,2013 World Championship,3,2013-08-01,9.0,23.0,2.0,26.0
Jund Midrange,Reid Duke,2013 World Championship,2,2013-08-01,14.0,18.0,3.0,25.0
Jund Midrange,Josh Utter-Leyton,2013 World Championship,4,2013-08-01,18.0,16.0,1.0,25.0
Abzan Midrange,Patrick Chapin,2014 World Championship - Day 2,2,2014-12-03,15.0,15.0,5.0,25.0
Sultai Whip ,Kentaro Yamamoto,2014 World Championship - Day 2,4,2014-12-03,24.0,10.0,3.0,23.0
Jeskai Token,Yuuya Watanabe,2014 World Championship - Day 2,3,2014-12-03,8.0,22.0,6.0,24.0
Sultai Whip ,Shahar Shenhar,2014 World Championship - Day 2,1,2014-12-03,22.0,10.0,5.0,23.0
Abzan Midrange,Paul Rietzl,2015 World Championship,3,2015-08-30,20.0,10.0,4.0,26.0
Abzan Midrange,Owen Turtenwald,2015 World Championship,2,2015-08-30,15.0,17.0,2.0,26.0
Abzan Midrange,Seth Manfield,2015 World Championship,1,2015-08-30,14.0,17.0,3.0,26.0
Weenie White ,Samuel Black,2015 World Championship,4,2015-08-30,25.0,3.0,7.0,25.0
Bant Humans,Brian Braun-Duin,2016 World Championship,1,2016-09-02,25.0,8.0,2.0,25.0
HQ Collected Bant,Marcio Carvalho,2016 World Championship,2,2016-09-02,27.0,6.0,1.0,26.0
Temur Emerge Emrakul,Oliver Tiu,2016 World Championship,3,2016-09-02,18.0,16.0,4.0,22.0
Collected Bant,Shota Yasooka,2016 World Championship,4,2016-09-02,25.0,9.0,0.0,26.0
Temur Energy,William Jensen,Worlds 2017,1,2017-10-07,23.0,15.0,0.0,22.0
