Deck,Player,Format,Event,Level,Rank,Date,LANDS,CREATURES,INSTANTS_and_SORC.,OTHER_SPELLS,SIDEBOARD,LANDS_(29),LANDS_(26),LANDS_(27),LANDS_(28)
RG Aggro,Bertrand Lestrée,Standard,Worlds 1994 (Milwaukee) *,,2,01/08/94,20.0,12.0,20.0,8.0,0.0,,,,
Wug Control,Zak Dolan,Standard,Worlds 1994 (Milwaukee) *,,1,01/08/94,15.0,11.0,15.0,19.0,0.0,,,,
Zoo,Dominic Symens,Standard,Worlds 1994 (Milwaukee) *,,3-4,01/08/94,16.0,12.0,19.0,13.0,0.0,,,,
Zoo,Cyrille de Foucaud,Standard,Worlds 1994 (Milwaukee) *,,3-4,01/08/94,23.0,16.0,20.0,7.0,0.0,,,,
Rack Control,Alexander Blumke,Standard,Worlds 1995 (Seattle) *,,1,01/08/95,25.0,6.0,18.0,14.0,0.0,,,,
WR Control,Marc Hernandez,Standard,Worlds 1995 (Seattle) *,,2,01/08/95,20.0,,15.0,27.0,0.0,,,,
RG Control,Henry Stern,Standard,Worlds 1995 (Seattle) *,,3-4,01/08/95,24.0,10.0,15.0,14.0,0.0,,,,
(Sideboard B),Henri Schildt,Standard,Worlds 1995 (Seattle) *,,5-8,01/08/95,,,,60.0,0.0,,,,
(Sideboard C),Mu Luen Wang,Standard,Worlds 1995 (Seattle) *,,5-8,01/08/95,,,,60.0,0.0,,,,
Selesnya Aggro,Ivan Curina,Standard,Worlds 1995 (Seattle) *,,5-8,01/08/95,20.0,24.0,11.0,7.0,0.0,,,,
(Red Artifact Control),Mark Justice,Standard,Worlds 1995 (Seattle) *,,3-4,01/08/95,,,,60.0,0.0,,,,
Pre-Sligh,Andrea Redi,Standard,Worlds 1995 (Seattle) *,,5-8,01/08/95,22.0,11.0,16.0,11.0,0.0,,,,
Blueless Weenie White,Tom Chanpheng,Standard,Worlds 1996 (Seattle),,1,14/08/96,24.0,20.0,13.0,3.0,0.0,,,,
Erhnam Gueddon,Olle Råde,Standard,Worlds 1996 (Seattle),,3-4,14/08/96,21.0,22.0,16.0,2.0,0.0,,,,
Stasis !,Tommi Hovi,Standard,Worlds 1996 (Seattle),,5-8,14/08/96,24.0,,19.0,17.0,0.0,,,,
Mono B Nevinyrral's Necro,Henry Stern,Standard,Worlds 1996 (Seattle),,3-4,14/08/96,26.0,10.0,13.0,11.0,0.0,,,,
Br Nevinyrral's Necro,Mark Justice,Standard,Worlds 1996 (Seattle),,2,14/08/96,25.0,9.0,15.0,11.0,0.0,,,,
Erhnam-geddon,Matt Place,Standard,Worlds 1996 (Seattle),,5-8,14/08/96,23.0,10.0,13.0,14.0,0.0,,,,
